,상호,휘발유,상표,셀프여부,주소,시
2135,SK이화주유소,1695,알뜰주유소,Y,경기 부천시 원미구 부천로 207 (춘의동),부천시
2136,프로Self주유소,1699,S-OIL,Y,경기 부천시 원미구 부천로 161,부천시
2137,부천하이웨이주유소,1707,현대오일뱅크,Y,"경기 부천시 원미구 송내대로 369, 1층(상동)",부천시
2138,(주)자연에너지 명품주유소,1707,현대오일뱅크,Y,경기 부천시 오정구 벌말로 143 (대장동),부천시
2139,부강주유소,1712,알뜰주유소,N,경기 부천시 오정구 역곡로 458,부천시
2140,(주)광역주유소 고강,1715,SK에너지,Y,경기 부천시 오정구 역곡로 560 (고강동),부천시
2141,씨앤에스유통(주) 서해상동 주유소,1718,S-OIL,N,경기 부천시 원미구  송내대로 389 (상동),부천시
2142,(주)유카스에너지 상동SELF,1727,SK에너지,Y,경기 부천시 원미구 부일로 274 (상동),부천시
2143,부광주유소,1727,SK에너지,Y,경기 부천시 오정구 벌말로 87 (대장동),부천시
2144,(주)역곡주유소,1730,자가상표,Y,경기 부천시 원미구 부일로 820 (역곡동),부천시
2145,씨앤에스에너지㈜ 소사본동주유소,1735,S-OIL,Y,경기 부천시 소사구 경인로 402,부천시
2146,역곡역주유소,1735,S-OIL,Y,경기 부천시 소사구 경인로 463 (괴안동),부천시
2147,약대주유소,1737,S-OIL,Y,경기 부천시 오정구 신흥로 385 (내동),부천시
2148,SK에너지(주) 복사골주유소,1737,SK에너지,Y,경기 부천시 소사구 경인로 36 (송내동),부천시
2149,원미주유소,1738,SK에너지,N,경기 부천시 원미구 원미로 148 (원미동),부천시
2150,해동주유소,1739,현대오일뱅크,Y,경기 부천시 오정구 소사로 627 (여월동),부천시
2151,계남주유소,1739,S-OIL,Y,경기 부천시 원미구 길주로 640 (춘의동),부천시
2152,계동주유소,1739,S-OIL,N,경기 부천시 오정구 역곡로 449 (고강동),부천시
2153,동양산업(주)직영 일광주유소,1747,GS칼텍스,Y,경기 부천시 원미구 길주로 442,부천시
2154,수현주유소,1749,S-OIL,N,경기 부천시 오정구 봉오대로 494 (고강동),부천시
2155,남경주유소,1757,현대오일뱅크,N,경기 부천시 오정구 오정로 191 (내동),부천시
2156,이화주유소,1759,S-OIL,N,경기 부천시 원미구 신흥로 19 (심곡동),부천시
2157,KH에너지(주) 직영 KH테크노주유소,1765,SK에너지,N,경기 부천시 오정구 석천로398번길 57 (삼정동),부천시
2158,고객행복주유소,1765,S-OIL,Y,경기도 부천시 오정구 소사로 584,부천시
2159,(주)동원석유,1765,SK에너지,Y,경기 부천시 원미구 부흥로 182(중동),부천시
